employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
49017,1,7,2,1,1,1,35,5.0,3,1,0,50,1
58304,1,28,2,0,1,1,33,5.0,6,1,0,51,1
17673,1,4,1,0,3,1,50,4.0,17,1,0,47,1
77981,6,22,2,0,3,1,27,3.0,1,1,1,58,1
16502,1,22,2,0,1,1,27,3.0,1,0,0,61,1
45624,5,31,2,0,3,1,30,3.0,7,1,0,84,1
24040,3,22,1,0,3,1,34,5.0,7,1,0,78,1
54782,1,2,1,0,1,1,38,4.0,2,1,0,49,1
59147,1,22,2,0,1,1,30,3.0,3,0,0,58,1
44575,9,7,2,0,3,1,29,3.0,1,0,0,65,1
47498,2,11,1,1,1,1,42,5.0,11,1,0,60,1
22261,4,7,1,0,1,1,32,5.0,3,1,0,69,1
66635,2,15,2,0,3,1,31,5.0,4,1,0,63,1
21387,2,13,2,0,3,1,35,4.0,6,1,0,57,1
14141,1,7,2,1,3,1,40,3.0,2,1,0,90,1
51892,3,2,2,0,3,1,27,5.0,2,0,0,86,1
38771,4,23,2,1,3,1,27,4.0,4,1,0,72,1
26097,1,25,1,0,3,1,34,5.0,7,1,0,51,1
38052,4,34,1,0,1,1,37,5.0,3,0,1,92,1
19318,5,22,2,0,3,1,32,3.0,8,0,0,89,1
34985,3,5,2,1,3,2,34,5.0,8,0,0,88,1
35930,4,2,2,0,1,1,25,5.0,3,1,0,70,1
5515,2,13,1,0,3,1,43,3.0,7,1,0,56,1
33825,1,17,2,0,3,1,34,4.0,7,1,0,48,1
53630,1,23,1,1,1,1,34,4.0,5,1,1,94,1
62923,2,13,1,1,3,1,38,5.0,2,1,1,93,1
43396,2,22,2,0,1,2,37,2.0,4,1,0,57,1
22031,4,2,2,1,3,1,29,4.0,2,1,0,95,1
22865,5,20,1,0,3,1,40,5.0,5,0,1,83,1
27605,2,22,1,0,3,1,34,3.0,3,0,0,75,1
45496,1,2,2,0,3,1,22,5.0,2,0,0,62,1
66262,4,2,2,1,3,2,26,5.0,2,1,0,68,1
51544,4,12,2,1,3,1,32,5.0,5,0,1,84,1
70197,8,22,1,0,3,1,30,4.0,2,1,0,96,1
55730,1,26,2,0,3,1,45,4.0,15,0,0,64,1
8284,1,2,2,1,3,1,34,5.0,5,0,0,60,1
36936,1,28,2,0,3,1,24,2.0,2,1,0,52,1
70048,1,1,1,0,3,1,37,3.0,10,1,0,49,1
12538,2,14,2,0,3,1,35,5.0,10,1,0,59,1
56140,3,13,2,1,3,1,33,3.0,4,1,0,76,1
46639,1,7,2,1,1,1,32,5.0,8,1,0,46,1
76698,2,7,2,1,3,1,45,3.0,4,0,1,65,1
38934,2,22,1,1,1,1,48,3.0,15,0,0,69,1
31987,4,17,1,0,3,1,45,3.0,16,0,0,87,1
29146,2,22,1,0,3,3,32,3.0,4,1,0,64,1
65024,2,7,1,1,1,1,33,5.0,6,0,0,74,1
30900,1,12,2,0,1,1,35,4.0,10,1,0,50,1
44381,2,7,2,0,3,1,33,5.0,8,1,0,59,1
26944,1,2,2,1,1,1,34,2.0,7,1,0,49,1
4857,5,28,2,0,3,1,36,5.0,3,1,0,91,1
58988,4,23,1,0,3,2,35,5.0,6,1,0,91,1
6731,8,29,2,0,1,1,30,5.0,1,0,0,96,1
63667,4,26,2,0,3,1,28,3.0,1,0,0,82,1
21230,8,7,2,0,1,2,32,5.0,3,1,0,83,1
29950,1,26,2,0,1,1,40,3.0,18,1,0,55,1
5272,2,2,3,1,1,1,24,3.0,1,0,0,73,1
70679,1,2,1,1,3,1,39,1.0,10,1,0,52,1
20516,1,2,2,0,3,1,24,3.0,2,1,1,81,1
25354,1,2,2,0,3,1,47,4.0,16,1,0,48,1
24397,2,22,2,0,3,1,32,4.0,4,1,1,57,1
9072,1,14,1,0,3,1,33,4.0,3,1,0,94,1
15024,3,32,2,1,1,4,32,5.0,8,0,0,93,1
17190,4,34,2,0,3,1,29,5.0,4,0,0,84,1
64764,3,2,2,0,1,1,26,3.0,1,1,1,81,1
48737,2,4,2,0,3,2,29,5.0,5,1,0,63,1
