latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,no_of_days_since_lastreview
1.33235,103.78521,2,81,90,18,0.28,1,365,1705
1.28875,103.80814,2,44,15,18,0.23,32,331,128
1.28837,103.81099,2,40,30,10,0.11,32,276,348
1.31125,103.83816,2,65,2,125,1.35,6,336,5
1.28976,103.80896,2,44,30,13,0.15,32,340,206
1.28677,103.81244,2,40,30,10,0.14,32,331,122
1.28537,103.81087,2,31,90,3,0.04,32,361,1100
1.3142,103.90232,2,81,90,0,0.0,1,173,1887
1.3115,103.83759,2,60,2,84,1.17,6,340,48
1.31159,103.83805,2,60,2,157,1.75,6,349,12
1.29345,103.83562,2,56,90,27,0.36,1,364,750
1.33171,103.79383,1,276,4,11,0.13,1,362,597
1.30109,103.85234,2,167,180,0,0.0,1,365,1887
1.31016,103.79853,2,100,90,28,0.33,1,90,745
1.30901,103.79639,3,208,1,0,0.0,1,0,1887
1.30377,103.89956,2,165,2,68,0.83,5,167,32
1.34143,103.84945,2,51,92,48,0.61,1,179,6
1.28315,103.84213,2,44,90,2,0.02,112,365,16
1.28342,103.78585,2,128,3,0,0.0,1,365,1887
1.28909,103.80749,2,40,30,13,0.17,32,331,11
1.30529,103.9042,1,300,2,37,0.46,5,221,564
1.30392,103.89988,2,150,2,68,0.84,5,173,92
1.29839,103.82808,1,200,60,9,0.11,3,334,561
1.27681,103.82381,2,150,1,2,0.05,1,208,214
1.31357,103.85731,2,100,365,0,0.0,1,365,1887
1.28291,103.84284,2,65,90,3,0.04,112,0,536
1.31314,103.84081,1,243,5,14,0.19,1,143,1148
1.31525,103.88176,2,35,18,6,0.15,112,359,38
1.27529,103.84494,1,219,60,6,0.08,3,350,563
1.28491,103.84209,2,60,28,6,0.16,112,333,747
1.33334,103.8327,2,69,2,222,2.85,2,0,4
1.29349,103.83837,1,140,2,145,2.04,1,230,5
1.31135,103.85946,2,49,18,2,0.05,112,360,1282
1.29638,103.87282,2,81,90,14,0.18,1,0,1679
1.28708,103.84444,1,231,90,28,0.4,2,119,409
1.29891,103.88681,1,190,9,29,0.39,1,277,24
1.31693,103.82636,1,319,7,42,0.61,19,330,84
1.31503,103.82614,1,149,7,29,0.42,19,0,118
1.31507,103.82704,1,240,7,29,0.41,19,340,37
1.31,103.90321,2,137,6,10,0.14,2,0,66
1.28485,103.84347,2,58,90,4,0.11,112,322,1043
1.31213,103.8561,2,56,18,1,0.03,112,332,1039
1.28407,103.8436,2,65,90,3,0.1,112,356,633
1.29201,103.76936,2,60,5,7,0.1,9,0,513
1.29213,103.76913,3,50,5,11,0.27,9,343,269
1.31511,103.88947,1,129,30,83,1.11,11,348,108
1.28432,103.84334,2,60,90,3,0.04,112,361,1047
1.3305,103.8424,2,44,90,29,0.4,1,76,30
1.30768,103.82017,2,104,5,51,0.79,1,74,15
1.30774,103.86332,2,40,18,8,0.13,112,359,974
1.30844,103.85875,2,76,5,22,0.49,1,67,3
1.32359,103.8498,2,31,108,0,0.0,1,365,1887
1.31118,103.87367,1,131,14,0,0.0,1,365,1887
1.30341,103.83365,1,300,2,9,0.19,38,349,27
1.28419,103.82765,2,60,183,0,0.0,1,365,1887
1.28328,103.84329,2,67,90,3,0.17,112,356,178
1.30415,103.90192,2,165,2,27,0.39,5,223,25
1.33917,103.82306,2,89,2,78,1.1,2,342,7
1.30292,103.858,2,90,1,2,0.08,7,233,602
1.32389,103.84872,2,131,1,1,1.0,2,0,25
1.28425,103.8432,3,50,1,134,1.91,5,301,16
1.28446,103.8446,3,300,1,2,0.04,5,275,534
1.28467,103.84327,3,50,1,83,1.22,5,298,6
1.28556,103.84198,2,58,90,0,0.0,83,355,1887
1.29857,103.84748,1,194,14,11,0.18,1,301,262
1.28459,103.84217,2,56,18,3,0.08,112,356,88
1.30626,103.83994,2,85,3,11,0.39,18,334,27
1.30669,103.80043,2,40,183,0,0.0,1,88,1887
1.31909,103.85741,2,33,180,1,0.02,1,364,1867
1.31435,103.88617,1,169,3,19,0.28,1,332,36
1.31742,103.82572,1,160,7,24,0.35,19,365,22
1.2819,103.83849,2,50,6,6,0.09,1,54,676
1.28968,103.84632,1,219,3,11,0.57,2,311,341
1.31539,103.88257,2,40,18,1,0.03,112,353,885
1.29726,103.84263,2,221,90,0,0.0,1,0,1887
1.3377,103.88248,1,140,5,2,0.05,2,0,969
1.27365,103.84354,1,240,5,8,0.12,1,0,1465
1.32359,103.85063,2,360,30,2,0.03,3,173,1865
1.33903,103.88474,2,60,3,49,0.77,2,345,21
1.32347,103.85213,2,381,5,11,0.18,3,180,1080
1.29815,103.83895,1,140,1,100,1.46,48,327,43
1.29549,103.83931,1,140,2,107,1.55,48,323,19
1.28153,103.84808,1,250,3,163,2.39,1,29,9
1.31609,103.85813,2,99,1,8,0.18,11,358,385
1.31642,103.8398,1,89,2,7,0.18,1,0,753
1.32423,103.85293,2,281,3,21,0.36,3,180,1061
1.29488,103.83973,2,87,1,98,1.44,48,346,16
1.28388,103.84398,2,50,28,2,0.04,112,333,1197
1.29041,103.83482,1,150,365,0,0.0,1,365,1887
1.28448,103.8436,2,69,1,307,5.44,3,315,16
1.31196,103.85962,2,342,1,23,0.35,20,357,11
1.29462,103.83855,1,200,1,142,2.13,48,309,19
1.29907,103.87601,2,58,7,52,0.77,1,0,1671
1.31193,103.85952,2,253,1,2,0.04,20,356,781
1.31254,103.85963,2,303,1,48,0.77,20,358,36
1.31201,103.85971,2,54,2,29,0.99,20,358,33
1.31215,103.85982,2,135,1,50,1.05,20,360,47
1.31125,103.86083,2,54,2,6,0.13,20,363,199
1.33746,103.78052,1,119,2,3,0.1,1,118,503
1.2942,103.84283,1,108,3,31,0.47,2,338,57
1.33792,103.88593,2,60,3,57,0.88,2,350,27
1.283,103.84399,2,89,1,121,1.96,3,333,14
1.28409,103.84514,2,67,1,19,0.29,3,0,16
1.28674,103.84073,1,250,90,24,0.37,2,289,180
1.32692,103.86459,2,40,90,0,0.0,1,349,1887
1.27819,103.83072,2,119,2,1,0.12,2,365,239
1.31138,103.86104,2,36,28,1,0.07,83,331,423
1.29773,103.83919,1,128,2,70,1.08,48,321,14
1.31626,103.84444,2,81,6,43,0.65,1,215,52
1.30699,103.80159,3,69,1,0,0.0,1,365,1887
1.31254,103.85068,1,200,4,24,0.4,203,33,612
1.29519,103.84185,1,150,14,7,0.11,1,17,399
1.31566,103.8859,1,90,1,52,0.82,67,45,22
1.31531,103.88561,1,93,5,44,0.68,67,73,41
1.29645,103.83972,1,200,1,97,1.53,48,315,58
1.29648,103.83877,1,106,1,217,3.41,48,335,24
1.28132,103.7854,2,49,1,8,0.18,32,350,16
1.30021,103.84288,2,69,90,0,0.0,2,364,1887
1.28376,103.83082,1,139,2,17,0.28,26,338,66
1.31047,103.86096,3,35,1,19,0.31,3,0,1238
1.2986,103.84659,2,110,90,6,0.1,2,215,86
1.33967,103.86901,1,228,60,6,0.11,1,365,1432
1.27811,103.83379,1,254,7,4,0.06,1,0,1144
1.29575,103.86549,1,275,3,0,0.0,1,0,1887
1.29792,103.83781,1,125,2,93,1.5,48,305,20
1.31601,103.88579,1,92,1,63,0.99,67,77,28
1.31239,103.85201,1,300,2,3,0.05,1,0,1534
1.31619,103.85983,2,137,1,31,0.67,11,365,162
1.31472,103.86022,3,44,1,5,0.08,11,365,919
1.31437,103.86017,2,60,1,2,0.08,11,342,58
1.31393,103.88749,1,85,5,62,1.13,67,84,58
1.31086,103.85883,3,37,1,18,0.28,3,0,238
1.30997,103.86052,2,150,1,0,0.0,3,0,1887
1.28362,103.84552,1,131,2,52,1.03,12,355,15
1.28378,103.8431,1,126,90,1,0.03,1,282,951
1.28216,103.84714,2,200,10,17,0.27,1,365,1479
1.31562,103.88586,1,85,60,41,0.66,67,26,160
1.29508,103.84085,1,181,5,2,0.03,1,0,1886
1.28667,103.82935,2,81,1,0,0.0,1,0,1887
1.31228,103.89521,1,200,30,22,0.35,203,352,106
1.30287,103.9005,1,250,4,0,0.0,1,0,1887
1.29499,103.83852,1,219,2,154,2.99,48,266,31
1.29783,103.83936,1,137,1,179,2.87,48,288,15
1.28318,103.84335,3,31,1,137,2.25,13,359,43
1.28458,103.84298,3,31,1,80,1.3,13,46,290
1.28955,103.83861,1,206,2,18,0.29,1,0,1011
1.3319,103.76533,1,150,2,41,0.69,1,25,14
1.31122,103.84108,1,179,7,0,0.0,1,0,1887
1.28496,103.84318,3,31,1,192,3.1,13,46,60
1.28439,103.84308,3,31,1,177,2.86,13,46,16
1.2852,103.84216,2,60,90,1,0.32,112,361,91
1.31492,103.88801,1,89,4,40,0.66,67,134,40
1.28262,103.84487,3,31,1,18,0.3,13,365,324
1.28354,103.84331,2,140,2,48,0.82,13,168,9
1.3155,103.88596,1,85,30,59,0.96,67,86,63
1.29533,103.83797,1,150,2,220,3.66,48,260,30
1.31379,103.88577,1,93,1,25,0.42,67,84,65
1.30376,103.85923,2,58,1,20,0.44,7,233,563
1.30171,103.85959,2,90,1,6,0.1,7,233,759
1.29597,103.8382,1,137,1,63,1.03,48,337,207
1.32986,103.81297,2,150,90,26,0.53,3,90,283
1.32045,103.82116,1,237,3,61,1.01,3,36,15
1.31586,103.88559,1,90,1,78,1.28,67,10,50
1.31565,103.88576,1,94,1,61,1.0,67,77,14
1.3125,103.89761,1,199,28,75,1.25,1,163,65
1.29002,103.82315,2,65,1,5,0.09,1,0,1332
1.31462,103.89173,2,69,14,0,0.0,1,0,1887
1.30459,103.82464,2,122,1,1,0.13,2,361,224
1.30176,103.85217,1,244,2,77,2.2,3,74,18
1.30148,103.85813,2,58,1,28,0.47,7,233,366
1.31944,103.86222,1,387,7,47,0.78,203,262,24
1.31464,103.88672,1,83,1,73,1.22,67,141,27
1.3137,103.88765,1,90,10,40,0.68,67,4,19
1.30348,103.85969,2,58,1,10,0.2,7,233,621
1.31633,103.88539,1,90,4,49,0.83,67,64,17
1.31288,103.85969,2,62,1,21,0.66,20,358,2
1.31157,103.8598,2,56,1,189,5.63,20,343,11
1.32772,103.85239,1,358,7,32,0.54,203,275,203
1.28223,103.83867,2,50,180,0,0.0,1,365,1887
1.31995,103.79426,1,160,5,8,0.2,1,69,584
1.31444,103.88709,1,85,5,41,0.79,67,123,26
1.31539,103.82586,1,281,7,29,0.48,19,362,41
1.31131,103.88343,2,60,1,47,0.8,37,346,25
1.31372,103.88716,1,85,4,72,1.37,67,69,15
1.28278,103.8445,3,31,1,44,0.77,13,363,16
1.28332,103.8433,3,31,1,18,0.31,13,365,15
1.29088,103.83891,2,115,2,0,0.0,1,0,1887
